year,state_fips,state_abbr,state_name,county_fips,county_name,n1,n2,a00100,a00200,a00300,a00600
1989,02,AK,Alaska,090,Fairbanks Nor,32765.0,71246.0,1005550.0,825600.0,36598.0,12281.0
1989,02,AK,Alaska,100,Haines Boroug,1048.0,2139.0,29960.0,17660.0,1871.0,695.0
1989,02,AK,Alaska,110,Juneau Boroug,13050.0,25713.0,458970.0,349910.0,22850.0,8741.0
1989,02,AK,Alaska,122,Kenai Peninsu,17619.0,38186.0,611910.0,419290.0,25674.0,6782.0
1989,02,AK,Alaska,130,Ketchikan Gat,6627.0,13602.0,231120.0,170460.0,10641.0,3172.0
1989,02,AK,Alaska,150,Kodiak Island,5789.0,12419.0,203870.0,124710.0,7439.0,2510.0
1989,02,AK,Alaska,164,Lake And Peni,486.0,1144.0,12300.0,6110.0,392.0,213.0
1989,02,AK,Alaska,170,Matanuska-Sus,14899.0,34342.0,474950.0,370140.0,17995.0,4560.0
1989,02,AK,Alaska,180,Nome,2969.0,6588.0,69290.0,58910.0,1391.0,732.0
1989,02,AK,Alaska,185,North Slope B,2297.0,5206.0,85200.0,77230.0,846.0,726.0
1989,02,AK,Alaska,188,Northwest Arc,2145.0,5096.0,51950.0,45120.0,776.0,1363.0
1989,02,AK,Alaska,201,Prince of Wal,2144.0,4690.0,56780.0,46170.0,1782.0,1055.0
1989,02,AK,Alaska,220,Sitka Borough,3992.0,8346.0,128500.0,90680.0,6107.0,2186.0
1989,02,AK,Alaska,231,Skagway-Yakut,1672.0,3570.0,44610.0,31330.0,1993.0,930.0
1989,02,AK,Alaska,240,Southeast Fai,2059.0,4732.0,52300.0,42570.0,1780.0,697.0
1989,02,AK,Alaska,261,Valdez-Cordov,4372.0,8891.0,193300.0,122030.0,5635.0,1883.0
1989,02,AK,Alaska,270,Wade Hampton,1588.0,4236.0,24730.0,20100.0,369.0,292.0
1989,02,AK,Alaska,280,Wrangell-Pete,3207.0,6686.0,98200.0,58850.0,5879.0,3346.0
1989,02,AK,Alaska,290,Yukon-Koyukuk,3290.0,7183.0,80090.0,67190.0,2165.0,1067.0
1989,04,AZ,Arizona,000,ARIZONA,1465224.0,3192267.0,39393340.0,29317960.0,3530177.0,1056292.0
1989,04,AZ,Arizona,001,Apache,18946.0,59812.0,335770.0,304210.0,9143.0,1225.0
1989,04,AZ,Arizona,003,Cochise,35573.0,84894.0,794850.0,603010.0,53829.0,14171.0
1989,04,AZ,Arizona,005,Coconino,36267.0,83292.0,858460.0,663900.0,57947.0,22214.0
1989,04,AZ,Arizona,007,Gila,15023.0,35436.0,320970.0,227290.0,32940.0,5533.0
1989,04,AZ,Arizona,009,Graham,6912.0,18708.0,138950.0,106530.0,11210.0,1770.0
1989,04,AZ,Arizona,011,Greenlee,2777.0,7665.0,69190.0,59810.0,2673.0,599.0
1989,04,AZ,Arizona,012,La Paz,5006.0,11990.0,95180.0,70590.0,8282.0,942.0
1989,04,AZ,Arizona,013,Maricopa,879998.0,1860798.0,25512330.0,19290230.0,2255712.0,688283.0
1989,04,AZ,Arizona,015,Mohave,38565.0,80248.0,860960.0,555290.0,86070.0,12851.0
1989,04,AZ,Arizona,017,Navajo,22160.0,61382.0,458090.0,380450.0,24790.0,3497.0
1989,04,AZ,Arizona,019,Pima,267541.0,554261.0,7036890.0,5032810.0,702081.0,235340.0
1989,04,AZ,Arizona,021,Pinal,37915.0,92350.0,794750.0,632460.0,65294.0,9053.0
1989,04,AZ,Arizona,023,Santa Cruz,12312.0,33318.0,242350.0,176400.0,17801.0,6647.0
1989,04,AZ,Arizona,025,Yavapai,42042.0,88430.0,990010.0,538310.0,147496.0,44715.0
1989,04,AZ,Arizona,027,Yuma,44187.0,119683.0,884570.0,676670.0,54909.0,9452.0
1989,05,AR,Arkansas,000,ARKANSAS,916043.0,2049594.0,20321160.0,15297220.0,1543383.0,323228.0
1989,05,AR,Arkansas,001,Arkansas,8804.0,19742.0,200130.0,130160.0,18197.0,2749.0
1989,05,AR,Arkansas,003,Ashley,8910.0,21452.0,203890.0,169320.0,10884.0,1912.0
1989,05,AR,Arkansas,005,Baxter,13060.0,27274.0,273010.0,147350.0,43090.0,11348.0
1989,05,AR,Arkansas,007,Benton,41091.0,90092.0,995640.0,679860.0,96247.0,31582.0
1989,05,AR,Arkansas,009,Boone,11643.0,25603.0,240820.0,172630.0,24109.0,3264.0
1989,05,AR,Arkansas,011,Bradley,4281.0,9854.0,85090.0,65860.0,6708.0,965.0
1989,05,AR,Arkansas,013,Calhoun,1885.0,4319.0,39240.0,30460.0,1991.0,184.0
1989,05,AR,Arkansas,015,Carroll,7982.0,16702.0,144770.0,91750.0,17505.0,2970.0
1989,05,AR,Arkansas,017,Chicot,5070.0,12170.0,80530.0,60590.0,7233.0,940.0
1989,05,AR,Arkansas,019,Clark,7689.0,16958.0,151690.0,111950.0,15018.0,1644.0
1989,05,AR,Arkansas,021,Clay,6778.0,15026.0,126940.0,84160.0,11960.0,1104.0
1989,05,AR,Arkansas,023,Cleburne,7305.0,16125.0,146190.0,93030.0,16738.0,3372.0
1989,05,AR,Arkansas,025,Cleveland,2739.0,6468.0,53560.0,45040.0,3120.0,448.0
1989,05,AR,Arkansas,027,Columbia,9506.0,21977.0,214180.0,156340.0,20958.0,3431.0
1989,05,AR,Arkansas,029,Conway,7049.0,16093.0,135650.0,107680.0,9830.0,1111.0
1989,05,AR,Arkansas,031,Craighead,26371.0,57591.0,623850.0,467310.0,38914.0,6417.0
1989,05,AR,Arkansas,033,Crawford,16323.0,38310.0,330660.0,270880.0,17128.0,1454.0
1989,05,AR,Arkansas,035,Crittenden,18665.0,43875.0,380660.0,308920.0,16012.0,3605.0
1989,05,AR,Arkansas,037,Cross,7027.0,16712.0,135740.0,101890.0,10113.0,1289.0
1989,05,AR,Arkansas,039,Dallas,3631.0,8429.0,73950.0,56370.0,4993.0,703.0
1989,05,AR,Arkansas,041,Desha,6051.0,14765.0,118800.0,85860.0,8195.0,1314.0
1989,05,AR,Arkansas,043,Drew,6156.0,14394.0,125010.0,100960.0,7192.0,1861.0
1989,05,AR,Arkansas,045,Faulkner,22174.0,50187.0,508420.0,409630.0,27192.0,5199.0
1989,05,AR,Arkansas,047,Franklin,5633.0,12912.0,107330.0,80710.0,9089.0,864.0
1989,05,AR,Arkansas,049,Fulton,3464.0,7879.0,56670.0,36990.0,6134.0,940.0
1989,05,AR,Arkansas,051,Garland,31094.0,64331.0,703430.0,422250.0,90185.0,29545.0
1989,05,AR,Arkansas,053,Grant,5121.0,11959.0,119090.0,99500.0,5505.0,433.0
1989,05,AR,Arkansas,055,Greene,11812.0,26779.0,243170.0,178740.0,15903.0,2683.0
1989,05,AR,Arkansas,057,Hempstead,8251.0,18576.0,148350.0,115220.0,11320.0,1885.0
1989,05,AR,Arkansas,059,Hot Spring,9723.0,21970.0,188960.0,144830.0,14139.0,2037.0
1989,05,AR,Arkansas,061,Howard,5658.0,13004.0,101300.0,80600.0,8380.0,683.0
1989,05,AR,Arkansas,063,Independence,12009.0,27560.0,256790.0,200620.0,18655.0,2377.0
1989,05,AR,Arkansas,065,Izard,4164.0,9168.0,71520.0,47280.0,8695.0,1777.0
1989,05,AR,Arkansas,067,Jackson,6775.0,15131.0,128560.0,95160.0,10266.0,1175.0
